Date,Name,Year,Letterboxd URI,Rating
2026-05-17,No Other Choice,2025,https://boxd.it/nKiA,4
2026-05-23,Wonka,2023,https://boxd.it/tCQm,2
2026-05-23,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2026-05-23,The Voice of Hind Rajab,2025,https://boxd.it/UXdO,3
2026-05-23,The Truman Show,1998,https://boxd.it/18U8,4
2026-05-23,Challengers,2024,https://boxd.it/zld0,4
2026-05-23,There's Still Tomorrow,2023,https://boxd.it/COrw,3
2026-05-23,Barbie,2023,https://boxd.it/bCLK,2
2026-05-23,The Traitor,2019,https://boxd.it/l8d4,3
2026-05-23,A Rainy Day in New York,2019,https://boxd.it/h2z6,2
2026-05-23,Interstellar,2014,https://boxd.it/4VZ8,4.5
2026-05-23,I Can Quit Whenever I Want,2014,https://boxd.it/7kAm,3
2026-05-23,The Great Beauty,2013,https://boxd.it/5ty6,3.5
2026-05-23,The Great Gatsby,2013,https://boxd.it/JY,3
2026-05-23,The Iron Lady,2011,https://boxd.it/2qli,1
2026-05-23,The King's Speech,2010,https://boxd.it/dX0,3.5
2026-05-23,He's Just Not That Into You,2009,https://boxd.it/1WSG,2.5
2026-05-23,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2026-05-23,Vicky Cristina Barcelona,2008,https://boxd.it/23rW,2.5
2026-05-23,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,1.5
2026-05-23,Wedding Crashers,2005,https://boxd.it/1Yte,2
2026-05-23,The Holiday,2006,https://boxd.it/28ye,2.5
2026-05-23,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2026-05-23,Good Will Hunting,1997,https://boxd.it/2ahY,4
2026-05-23,When Harry Met Sally...,1989,https://boxd.it/29W2,3
2026-05-23,Stand by Me,1986,https://boxd.it/2aOe,3
2026-05-23,The Breakfast Club,1985,https://boxd.it/27q4,1
2026-05-23,Raging Bull,1980,https://boxd.it/28yI,3
2026-05-23,The Blues Brothers,1980,https://boxd.it/2adi,4
2026-05-23,Bananas,1971,https://boxd.it/1UbA,3
2026-05-23,Doctor Zhivago,1965,https://boxd.it/29jk,2
2026-05-23,Il Sorpasso,1962,https://boxd.it/1y7Q,4.5
2026-06-01,Arrival,2016,https://boxd.it/aNGk,3
2026-06-01,Enemy,2013,https://boxd.it/5xtO,2.5
2026-06-01,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2026-06-01,Blade Runner,1982,https://boxd.it/2bcA,4.5
2026-06-06,The Wind That Shakes the Barley,2006,https://boxd.it/293Q,4
2026-06-06,Big Fish,2003,https://boxd.it/2a3M,3
2026-06-10,Project Hail Mary,2026,https://boxd.it/pEeQ,2.5
