Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-03-08,Rush,2013,https://boxd.it/93pAqt,4,,,2025-03-07
2025-03-09,Back to the Future,1985,https://boxd.it/94dUWz,4.5,,,2025-03-08
2025-03-11,Mars Attacks!,1996,https://boxd.it/95Ayvr,2.5,,,2025-03-10
2025-03-11,Shrek the Third,2007,https://boxd.it/95AAdJ,4,,,2025-03-10
2025-03-12,Mickey 17,2025,https://boxd.it/96sbKL,4,,,2025-03-12
2025-03-15,Anora,2024,https://boxd.it/97Sc01,3.5,,,2025-03-15
2025-03-16,Flow,2024,https://boxd.it/98sO27,4.5,,,2025-03-15
2025-03-19,Primal Fear,1996,https://boxd.it/9aozUN,3,,,2025-03-18
2025-03-23,A History of Violence,2005,https://boxd.it/9cxDAj,3,,,2025-03-22
2025-03-25,The Zone of Interest,2023,https://boxd.it/9dTYBv,3.5,,,2025-03-24
2025-03-26,Sicario,2015,https://boxd.it/9eqw2t,3.5,,,2025-03-25
2025-03-27,The Monkey,2025,https://boxd.it/9eZYkF,3,,,2025-03-27
2025-03-28,The Man from Earth,2007,https://boxd.it/9fnibT,2.5,,,2025-03-27
2025-03-30,A Clockwork Orange,1971,https://boxd.it/9geIov,4,,,2025-03-29
2025-03-30,Zootopia,2016,https://boxd.it/9gnVpT,4,,,2025-03-29
2025-03-30,The Menu,2022,https://boxd.it/9gxXdv,3.5,,,2025-03-30
2025-04-02,Mulholland Drive,2001,https://boxd.it/9igAZb,4,,,2025-04-01
2025-04-07,Snow White and the Seven Dwarfs,1937,https://boxd.it/9kZv43,4.5,,,2025-04-06
2025-04-08,Tokyo Godfathers,2003,https://boxd.it/9lJoAt,4,,,2025-04-07
2025-04-09,The Iron Giant,1999,https://boxd.it/9mkFpr,5,,,2025-04-09
2025-04-12,They Call Me Jeeg,2015,https://boxd.it/9nwamz,3.5,,,2025-04-11
2025-04-14,A Minecraft Movie,2025,https://boxd.it/9oNfcx,0.5,,,2025-04-13
