Date,Name,Year,Letterboxd URI,Rating
2025-10-04,Phantom Thread,2017,https://boxd.it/e4uc,2.5
2025-10-04,The Master,2012,https://boxd.it/2cBG,2.5
2025-10-29,Gladiator,2000,https://boxd.it/2b9m,3.5
2025-10-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2025-10-31,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4
2025-12-14,Knives Out,2019,https://boxd.it/jWEA,4.5
2026-01-01,Some Like It Hot,1959,https://boxd.it/2aNA,5
2026-01-05,Jurassic Park,1993,https://boxd.it/2aA2,3.5
2026-01-12,Top Gun: Maverick,2022,https://boxd.it/cjr4,2.5
2026-01-26,Loving Vincent,2017,https://boxd.it/biIQ,3.5
2026-01-26,Saving Private Ryan,1998,https://boxd.it/29ro,3.5
2026-03-01,Wuthering Heights,2026,https://boxd.it/OdIa,1.5
2026-03-01,F1,2025,https://boxd.it/yjVM,2.5
2026-03-01,The Notebook,2004,https://boxd.it/1UNE,1
2026-03-18,Porco Rosso,1992,https://boxd.it/1Tp2,4.5
2026-03-21,Dead Man's Wire,2025,https://boxd.it/M8wu,4.5
2026-03-23,The World's End,2013,https://boxd.it/3EiO,3.5
2026-03-24,The Prestige,2006,https://boxd.it/293w,4.5
2026-03-24,Jackie Brown,1997,https://boxd.it/2aVO,4.5
2026-03-24,The Graduate,1967,https://boxd.it/18Im,4.5
2026-03-24,Love and Death,1975,https://boxd.it/1TeS,4.5
2026-03-24,For a Few Dollars More,1965,https://boxd.it/29eu,4.5
2026-03-24,Million Dollar Baby,2004,https://boxd.it/2bdI,4.5
2026-03-25,Joker,2019,https://boxd.it/h4cS,3.5
2026-03-30,Il Sorpasso,1962,https://boxd.it/1y7Q,4.5
2026-04-06,Psycho,1960,https://boxd.it/2ab2,4
2026-04-25,The Fortune Cookie,1966,https://boxd.it/27W0,4.5
2026-05-10,Skyfall,2012,https://boxd.it/17Fc,4
2026-05-13,Millennium Actress,2001,https://boxd.it/1fK0,4.5
2026-05-18,Nope,2022,https://boxd.it/sDCe,3.5
2026-05-19,Back to the Future Part II,1989,https://boxd.it/2aYI,4.5
2026-05-19,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,4.5
2026-05-23,12 Angry Men,1957,https://boxd.it/2auI,4
2026-06-19,Disclosure Day,2026,https://boxd.it/MDJY,3.5
2026-06-21,Decision to Leave,2022,https://boxd.it/qp9e,5
2026-06-21,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3.5
2026-06-22,Nosferatu,2024,https://boxd.it/f5eG,3.5
2026-06-22,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
